date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
09-03-1971;15;0;0,787096774;3,4;0;5;97,03753685;0,970236607;1,35;0,787096774;0,235118303;0,327784923;0,09467698;0;0,219231776;0,013876167;0,264740561;0,264740561;0,862442815;13,76363961
10-03-1971;14,85;2,92;0,787096774;0,2;0;5;97,11749272;0,970375368;0;0,787096774;0,235187684;1,897715542;0,548232491;0;1,269527174;0,079955876;0,468825087;0,468825087;0,863002519;16,26247828
11-03-1971;14,6;1,28;0,787096774;-0,4;1,28;3,977315762;97,11749272;0,971174927;0;0,787096774;0,235587464;0;0;0;0;0;0,377053233;0,377053233;0,861278239;15,12082989
12-03-1971;14,65;0,16;0,787096774;0,2;0,88;3,562817842;97,11749272;0,971174927;0,4;0,787096774;0,187401146;0;0;0;0;0;0,302430952;0,302430952;0,859557404;14,18863096
13-03-1971;15,5;7,6;0,787096774;3,6;0;5;97,36696226;0,971174927;0,88;0,787096774;0,167871044;6,087850024;1,760548987;0;4,077831502;0,249469534;0,942207802;0,942207802;0,865172768;22,06928821
14-03-1971;16,75;0,57;0,787096774;2,5;0;4,546068415;97,36696226;0,973669623;0;0,787096774;0,236834811;0;0;0;0;0;0,664665157;0,664665157;0,863444152;18,6592051
15-03-1971;16,2;0,4;0,787096774;3,7;0;3,94363819;97,36696226;0,973669623;0;0,787096774;0,215333451;0;0;0;0;0;0,487866907;0,487866907;0,861718989;16,47931852
16-03-1971;16,4;0;0,787096774;4,6;0;2,969743254;97,36696226;0,973669623;0;0,787096774;0,186798161;0;0;0;0;0;0,369405586;0,369405586;0,859997274;15,01180575
17-03-1971;17,05;5,92;0,787096774;3,4;0;5;97,47768841;0,973669623;0;0,787096774;0,140667717;2,961978764;0,859347372;0;1,991905235;0,110726156;0,617531091;0,617531091;0,861860844;18,0643344
18-03-1971;19;8,71;0,787096774;3,4;0;5;97,75274927;0,974776884;0;0,787096774;0,237388442;7,685514784;2,232959699;0;5,177494228;0,275060857;1,346557793;1,346557793;0,869449021;27,05887951
19-03-1971;19,8;5,93;0,787096774;5,1;0;5;97,9088984;0,977527493;0;0,787096774;0,238763746;4,90413948;1,429913728;0;3,318076625;0,156149127;1,473302012;1,473302012;0,873678431;28,65815239
20-03-1971;19,1;0,16;0,787096774;6,5;0;4,133358734;97,9088984;0,979088984;0;0,787096774;0,239544492;0;0;0;0;0;0,987856254;0,987856254;0,87193282;22,70923001
21-03-1971;17,9;0;0,787096774;4,3;0;3,148237296;97,9088984;0,979088984;0;0,787096774;0,198024664;0;0;0;0;0;0,677081739;0,677081739;0,870190697;18,89319931
