date,p,t,epot,q
1979-03-29,3.9,3.3,0.7899999999999999,2.630490995260664
1979-03-30,0.32,3.2,0.7899999999999999,2.472432227488152
1979-03-31,0.84,2.7,0.7899999999999999,2.028557345971564
1979-04-01,0.0,3.9,1.64,1.9032568720379144
1979-04-02,0.0,2.6,1.64,1.8664037914691944
1979-04-03,1.67,2.9,1.64,1.7280000000000002
1979-04-04,3.73,3.6,1.64,1.7255431279620854
1979-04-05,5.82,3.6,1.64,1.7566635071090049
1979-04-06,2.66,3.3,1.64,1.7542066350710903
1979-04-07,0.0,4.7,1.64,1.668216113744076
1979-04-08,0.0,3.9,1.64,1.5846824644549764
1979-04-09,0.0,3.8,1.64,1.534726066350711
1979-04-10,0.0,6.3,1.64,1.4847696682464455
1979-04-11,0.0,8.3,1.64,1.420072037914692
1979-04-12,0.0,8.2,1.64,1.3873137440758296
1979-04-13,0.06,6.7,1.64,1.401236018957346
1979-04-14,5.67,7.1,1.64,1.4298995260663507
1979-04-15,0.0,5.6,1.64,1.3660208530805689
1979-04-16,6.58,4.1,1.64,1.440545971563981
1979-04-17,1.46,2.8,1.64,1.4700284360189575
1979-04-18,0.0,2.5,1.64,1.3447279620853083
1979-04-19,0.0,4.0,1.64,1.298047393364929
1979-04-20,0.17,5.3,1.64,1.2964094786729858
1979-04-21,4.64,5.5,1.64,1.3242540284360191
1979-04-22,3.17,6.0,1.64,1.337357345971564
1979-04-23,1.12,5.5,1.64,1.3201592417061614
1979-04-24,0.83,7.2,1.64,1.3185213270142182
1979-04-25,15.46,6.1,1.64,1.5142521327014218
1979-04-26,0.85,6.0,1.64,1.542915639810427
1979-04-27,0.0,5.9,1.64,1.4905023696682465
1979-04-28,0.0,5.4,1.64,1.457744075829384
1979-04-29,0.34,5.1,1.64,1.4331753554502369
1979-04-30,14.66,4.4,1.64,1.6051563981042656
1979-05-01,2.1,3.5,3.043333333333333,1.6764056872037914
1979-05-02,1.26,2.4,3.043333333333333,1.510157345971564
1979-05-03,14.39,4.4,3.043333333333333,1.628087203791469
1979-05-04,0.52,4.6,3.043333333333333,1.6043374407582938
1979-05-05,0.25,4.5,3.043333333333333,1.4872265402843603
1979-05-06,0.1,4.2,3.043333333333333,1.388132701421801
1979-05-07,0.0,5.2,3.043333333333333,1.3652018957345975
1979-05-08,8.71,6.0,3.043333333333333,1.440545971563981
1979-05-09,2.39,7.8,3.043333333333333,1.456106161137441
1979-05-10,0.32,6.7,3.043333333333333,1.402873933649289
1979-05-11,0.0,6.0,3.043333333333333,1.3054180094786731
1979-05-12,0.0,8.3,3.043333333333333,1.2759355450236969
1979-05-13,0.0,9.2,3.043333333333333,1.2177895734597155
1979-05-14,0.0,11.5,3.043333333333333,1.1891260663507108
1979-05-15,0.0,12.2,3.043333333333333,1.1612815165876778
1979-05-16,0.0,15.6,3.043333333333333,1.1612815165876778
1979-05-17,0.0,11.6,3.043333333333333,1.1465402843601895
1979-05-18,1.28,11.2,3.043333333333333,1.132618009478673
1979-05-19,0.0,10.6,3.043333333333333,1.1186957345971569
1979-05-20,0.0,8.4,3.043333333333333,1.0908511848341234
1979-05-21,0.0,12.0,3.043333333333333,1.0834805687203792
1979-05-22,0.55,12.6,3.043333333333333,1.0834805687203792
1979-05-23,9.23,13.6,3.043333333333333,1.0769289099526067
1979-05-24,10.37,12.5,3.043333333333333,1.2030483412322277
1979-05-25,12.27,11.0,3.043333333333333,1.363563981042654
1979-05-26,7.18,12.5,3.043333333333333,1.5314502369668248
1979-05-27,4.52,12.3,3.043333333333333,1.5314502369668248
1979-05-28,8.7,11.7,3.043333333333333,1.5003298578199054
1979-05-29,0.68,14.5,3.043333333333333,1.454468246445498
1979-05-30,5.28,16.6,3.043333333333333,1.3930464454976306
1979-05-31,0.0,19.6,3.043333333333333,1.3332625592417062
1979-06-01,0.0,17.7,3.96,1.2308928909952608
1979-06-02,0.0,18.2,3.96,1.1735658767772512
1979-06-03,0.0,18.8,3.96,1.1105061611374407
1979-06-04,0.0,17.3,3.96,1.1039545023696682
1979-06-05,0.0,18.2,3.96,1.0351620853080572
1979-06-06,0.0,17.0,3.96,1.0351620853080572
1979-06-07,1.53,13.9,3.96,1.062187677725119
1979-06-08,8.68,11.9,3.96,1.1170578199052137
1979-06-09,0.0,11.9,3.96,1.1170578199052137
1979-06-10,0.16,10.5,3.96,1.0892132701421802
1979-06-11,0.0,11.4,3.96,1.0343431279620856
1979-06-12,0.64,11.4,3.96,1.0212398104265403
1979-06-13,0.47,11.2,3.96,1.048265402843602
1979-06-14,0.05,12.8,3.96,1.0343431279620856
1979-06-15,9.87,12.4,3.96,1.072834123222749
1979-06-16,0.16,11.7,3.96,1.0564549763033175
1979-06-17,0.0,12.4,3.96,0.9868436018957348
1979-06-18,0.0,14.3,3.96,0.9770161137440758
1979-06-19,0.0,13.9,3.96,0.9549042654028436
1979-06-20,0.0,13.6,3.96,0.9336113744075832
1979-06-21,0.0,17.0,3.96,0.8983962085308058
1979-06-22,1.04,16.9,3.96,0.8836549763033175
1979-06-23,7.0,14.2,3.96,0.9065857819905214
1979-06-24,0.0,16.4,3.96,0.8852928909952608
1979-06-25,6.86,14.4,3.96,0.9925763033175354
1979-06-26,6.04,13.7,3.96,1.0826616113744076
1979-06-27,0.0,14.2,3.96,1.0466274881516588
1979-06-28,0.0,14.0,3.96,0.9712834123222748
1979-06-29,5.84,15.0,3.96,0.9622748815165876
1979-06-30,2.64,12.0,3.96,0.9729213270142184
1979-07-01,3.58,11.8,3.07,0.9639127962085308
1979-07-02,0.32,11.8,3.07,0.9360682464454976
1979-07-03,0.34,13.6,3.07,0.920508056872038
1979-07-04,0.0,14.4,3.07,0.9057668246445498
1979-07-05,0.0,14.7,3.07,0.8541725118483413
1979-07-06,0.0,14.4,3.07,0.8517156398104266
1979-07-07,0.0,14.8,3.07,0.8435260663507109
1979-07-08,4.81,13.3,3.07,0.8468018957345972
1979-07-09,2.6,13.8,3.07,0.8631810426540284
1979-07-10,3.58,13.4,3.07,0.8787412322274882
1979-07-11,0.0,14.2,3.07,0.8762843601895735
1979-07-12,0.0,14.1,3.07,0.814289289099526
1979-07-13,0.0,14.5,3.07,0.8002851184834124
1979-07-14,0.0,14.4,3.07,0.7863628436018958
1979-07-15,0.0,13.8,3.07,0.7841516587677725
1979-07-16,0.23,13.2,3.07,0.7703931753554503
1979-07-17,0.1,13.9,3.07,0.7625311848341233
1979-07-18,7.88,14.8,3.07,0.8125694786729859
1979-07-19,1.58,13.8,3.07,0.8451639810426541
1979-07-20,3.43,13.5,3.07,0.8492587677725119
1979-07-21,5.95,13.5,3.07,0.8525345971563982
1979-07-22,3.92,13.0,3.07,0.8680947867298578
1979-07-23,1.42,13.1,3.07,0.8656379146919432
1979-07-24,0.22,12.6,3.07,0.8402502369668247
1979-07-25,1.65,13.1,3.07,0.8271469194312796
1979-07-26,0.0,13.6,3.07,0.8205952606635072
1979-07-27,0.0,14.2,3.07,0.8135522274881517
1979-07-28,0.0,15.2,3.07,0.7949618957345973
1979-07-29,6.15,16.2,3.07,0.7880007582938389
1979-07-30,5.21,16.2,3.07,0.8154358293838864
1979-07-31,0.11,16.5,3.07,0.8369744075829385
1979-08-01,3.94,16.0,2.9366666666666665,0.8353364928909952
1979-08-02,2.79,15.7,2.9366666666666665,0.8574483412322276
1979-08-03,4.45,15.4,2.9366666666666665,0.8918445497630333
1979-08-04,1.07,14.2,2.9366666666666665,0.8787412322274882
1979-08-05,0.0,13.7,2.9366666666666665,0.8418881516587677
1979-08-06,0.08,15.2,2.9366666666666665,0.8287848341232227
1979-08-07,0.28,16.3,2.9366666666666665,0.8279658767772512
1979-08-08,3.39,16.9,2.9366666666666665,0.8037247393364929
1979-08-09,10.68,15.2,2.9366666666666665,0.8656379146919432
1979-08-10,5.66,14.1,2.9366666666666665,0.9049478672985783
1979-08-11,0.0,14.0,2.9366666666666665,0.8803791469194313
1979-08-12,0.04,14.5,2.9366666666666665,0.832060663507109
1979-08-13,0.0,13.9,2.9366666666666665,0.8197763033175356
1979-08-14,0.37,18.6,2.9366666666666665,0.8015954502369669
1979-08-15,0.36,17.2,2.9366666666666665,0.7889835071090048
1979-08-16,4.02,12.7,2.9366666666666665,0.7877550710900474
1979-08-17,11.03,14.8,2.9366666666666665,0.8033152606635071
1979-08-18,0.6,18.7,2.9366666666666665,1.0130502369668246
1979-08-19,0.0,18.7,2.9366666666666665,0.9155943127962084
1979-08-20,0.87,16.8,2.9366666666666665,0.8672758293838863
1979-08-21,1.12,15.8,2.9366666666666665,0.8541725118483413
1979-08-22,7.9,14.2,2.9366666666666665,0.8820170616113744
1979-08-23,13.02,13.7,2.9366666666666665,0.9450767772511848
1979-08-24,2.49,13.7,2.9366666666666665,0.9549042654028436
1979-08-25,0.88,13.0,2.9366666666666665,0.9295165876777252
1979-08-26,8.52,14.2,2.9366666666666665,0.9999469194312798
1979-08-27,0.0,13.8,2.9366666666666665,0.9983090047393366
1979-08-28,0.0,13.4,2.9366666666666665,0.9491715639810429
1979-08-29,0.0,15.3,2.9366666666666665,0.923783886255924
1979-08-30,0.0,15.8,2.9366666666666665,0.8762843601895735
1979-08-31,0.0,16.1,2.9366666666666665,0.8533535545023697
1979-09-01,0.0,16.4,1.9933333333333327,0.8312417061611375
1979-09-02,0.05,17.6,1.9933333333333327,0.8312417061611375
1979-09-03,18.74,15.8,1.9933333333333327,0.9352492890995262
1979-09-04,2.97,13.5,1.9933333333333327,1.0196018957345971
1979-09-05,0.17,15.0,1.9933333333333327,0.9655507109004738
1979-09-06,0.0,16.3,1.9933333333333327,0.901672037914692
1979-09-07,0.0,17.0,1.9933333333333327,0.895939336492891
1979-09-08,0.0,16.0,1.9933333333333327,0.8787412322274882
1979-09-09,1.69,15.1,1.9933333333333327,0.8508966824644552
1979-09-10,0.05,14.0,1.9933333333333327,0.8394312796208531
1979-09-11,0.0,15.2,1.9933333333333327,0.8402502369668247
1979-09-12,3.23,13.8,1.9933333333333327,0.8459829383886256
1979-09-13,0.0,14.0,1.9933333333333327,0.8517156398104266
1979-09-14,1.35,11.5,1.9933333333333327,0.8410691943127961
1979-09-15,7.9,10.2,1.9933333333333327,0.8869308056872038
1979-09-16,0.59,11.0,1.9933333333333327,0.8934824644549764
1979-09-17,1.18,13.0,1.9933333333333327,0.8820170616113744
1979-09-18,11.76,14.8,1.9933333333333327,0.9647317535545024
1979-09-19,2.32,14.5,1.9933333333333327,1.0499033175355452
1979-09-20,3.01,11.8,1.9933333333333327,1.0073175355450237
1979-09-21,9.34,11.5,1.9933333333333327,1.0384379146919434
1979-09-22,0.91,10.6,1.9933333333333327,1.0752909952606635
1979-09-23,0.0,10.4,1.9933333333333327,1.0024037914691943
1979-09-24,9.64,10.9,1.9933333333333327,0.978654028436019
1979-09-25,0.1,9.0,1.9933333333333327,1.0277914691943129
1979-09-26,2.08,12.5,1.9933333333333327,1.003222748815166
1979-09-27,5.42,13.5,1.9933333333333327,0.991757345971564
1979-09-28,2.07,12.0,1.9933333333333327,0.9925763033175354
1979-09-29,0.13,11.8,1.9933333333333327,0.9925763033175354
1979-09-30,0.0,8.5,1.9933333333333327,0.9573611374407583
1979-10-01,0.0,7.6,0.9466666666666668,0.9336113744075832
1979-10-02,0.0,8.2,0.9466666666666668,0.9336113744075832
1979-10-03,0.0,8.0,0.9466666666666668,0.9114995260663508
1979-10-04,0.0,7.7,0.9466666666666668,0.913137440758294
1979-10-05,0.85,8.5,0.9466666666666668,0.9139563981042654
1979-10-06,0.0,8.3,0.9466666666666668,0.8918445497630333
1979-10-07,0.0,8.7,0.9466666666666668,0.8697327014218009
1979-10-08,0.0,10.1,0.9466666666666668,0.8705516587677726
1979-10-09,0.0,12.0,0.9466666666666668,0.8721895734597157
1979-10-10,0.0,13.3,0.9466666666666668,0.8730085308056873
1979-10-11,0.0,14.2,0.9466666666666668,0.8795601895734597
1979-10-12,3.08,12.5,0.9466666666666668,0.9458957345971564
1979-10-13,14.07,12.7,0.9466666666666668,1.0826616113744076
