precipitation_max,precipitation_min,precipitation_sum,discharge_max,discharge_min,discharge_mean,temperature_max,temperature_min,temperature_mean,potential_evapotranspiration_max,potential_evapotranspiration_min,potential_evapotranspiration_sum,date
46.70997498550111,0.0,1226.369343244894,84.76899999999993,9.949999999999994,17.29800547945204,22.8,-4.9,9.140273972602738,116.8,7.5,647.1,1945-01-01
42.749977106190805,0.0,974.2594782567826,39.38699999999997,8.299999999999994,14.465868493150673,21.1,-5.4,8.164931506849314,120.5,8.0,637.6999999999999,1946-01-01
34.88998131543853,0.0,691.1696298593193,57.67499999999996,6.999999999999995,10.341306849315062,24.7,-10.2,7.803013698630137,134.5,7.5,676.8,1947-01-01
25.259986472570287,0.0,917.9495084123474,38.85799999999997,7.2999999999999945,12.830532786885238,24.4,-5.1,8.998087431693989,115.3,8.0,654.8,1948-01-01
36.64998037290978,0.0,891.4295226145421,29.99999999999998,7.399999999999994,13.285246575342455,21.6,-3.0,9.581369863013698,111.7,9.5,626.1999999999999,1949-01-01
24.979986622518044,0.0,1146.5593859853598,29.14999999999998,8.049999999999994,14.601534246575332,21.5,-3.9,8.504383561643836,120.4,7.9,659.9,1950-01-01
37.85997972492126,0.0,1103.8294088684584,48.76599999999996,9.199999999999994,17.221687671232864,19.1,-3.6,8.382465753424658,109.5,8.4,601.8,1951-01-01
32.259982723876384,0.0,1112.549404198657,35.699999999999974,7.724999999999994,16.1018169398907,20.1,-4.2,7.573497267759563,108.7,9.5,622.9,1952-01-01
33.94998181883457,0.0,943.2394948688519,34.199999999999974,8.849999999999994,14.964342465753413,22.3,-10.3,9.224931506849314,139.4,9.5,653.1,1953-01-01
27.729985149816866,0.0,1142.5993881060494,55.326999999999956,8.149999999999993,17.867249315068477,19.9,-6.2,7.863835616438356,119.3,7.8,617.3,1954-01-01
31.659983045193005,0.0,945.1994938192175,38.91999999999997,8.699999999999994,15.39549315068492,22.5,-7.7,7.767397260273972,127.2,7.5,606.0,1955-01-01
30.439983698536796,0.0,787.4195783147782,57.31299999999996,8.199999999999994,14.033049180327858,18.8,-14.6,7.155737704918033,113.2,9.3,594.8000000000001,1956-01-01
27.909985053421885,0.0,967.4494819037262,32.199999999999974,8.399999999999993,14.635753424657524,19.2,-3.9,8.39917808219178,114.3,9.5,620.5,1957-01-01
40.80997814511455,0.0,1061.4394315694776,90.00699999999993,8.799999999999994,15.776731506849304,22.3,-6.8,7.685753424657535,111.9,7.5,588.9,1958-01-01
39.62,0.0,866.6,60.564999999999955,7.999999999999995,13.161331506849306,21.6,-6.3,9.110958904109589,121.1,8.5,660.0,1959-01-01
36.36,0.0,1041.9,34.699999999999974,7.899999999999994,13.7191256830601,20.9,-6.9,8.130601092896175,123.4,8.2,630.8,1960-01-01
22.97,0.0,943.08,29.099999999999977,8.799999999999994,14.713150684931497,19.6,-6.1,8.845205479452055,123.4,7.8,632.8,1961-01-01
24.51,0.0,1013.51,44.12199999999997,9.199999999999994,17.549868493150672,16.9,-6.4,7.404109589041096,101.1,9.5,576.8,1962-01-01
31.33,0.0,952.46,41.61999999999997,8.899999999999993,15.333934246575332,20.8,-9.4,7.025479452054795,122.3,7.5,612.9,1963-01-01
42.95,0.0,827.9399999999999,32.799999999999976,8.699999999999994,13.803825136612012,20.0,-6.0,7.863114754098361,111.6,9.5,614.5,1964-01-01
33.37,0.0,1051.06,62.371,8.56,14.137665753424656,19.4,-5.9,7.4649315068493145,114.5,9.5,599.8,1965-01-01
27.13,0.0,1074.02,42.915,9.87,16.28726301369863,21.5,-8.0,7.574520547945205,136.9,7.5,627.4,1966-01-01
31.88,0.0,1207.44,47.264,10.22,18.692301369863014,19.9,-3.7,8.819452054794521,109.9,9.4,620.6,1967-01-01
43.32,0.0,1150.19,50.287,10.95,18.59130601092896,21.4,-6.8,8.23224043715847,130.2,7.5,640.1,1968-01-01
34.29,0.0,894.83,34.4,8.2,14.297561643835616,23.5,-8.9,7.757808219178082,119.7,8.8,626.8,1969-01-01
34.59,0.0,1165.08,118.998,8.63,16.700931506849315,20.9,-8.0,7.412328767123288,153.0,7.5,632.9,1970-01-01
35.97,0.0,864.22,35.0,8.0,14.108493150684932,20.8,-6.7,8.635068493150685,108.5,9.2,616.8,1971-01-01
31.28,0.0,872.23,26.4,8.8,12.927868852459017,23.3,-7.6,8.187158469945356,122.1,7.5,629.2,1972-01-01
31.45,0.0,911.06,24.2,6.95,12.442657534246575,23.3,-8.0,8.475068493150685,122.1,9.5,643.7,1973-01-01
32.61,0.0,1011.38,36.55,7.305,14.136964383561644,20.2,-0.2,8.834520547945205,107.1,9.5,620.6,1974-01-01
23.98,0.0,717.91,36.7,6.795,13.77298904109589,26.3,-2.6,9.206575342465754,116.2,9.5,634.4,1975-01-01
36.33,0.0,766.93,24.86,5.79,10.956204918032787,21.0,-5.2,7.983060109289618,122.3,9.5,628.3,1976-01-01
